,longitude,latitude,month,hour,day,local_authority_(district),1st_road_class,1st_road_number,speed_limit,accident,weather_conditions,junction_detail
0,-3.6581010000000003,51.625085,8,11.0,23,740,6,0,30,1,5,0
1,-3.6581010000000003,51.625085,4,4.0,28,274,6,0,30,0,5,0
2,-3.6581010000000003,51.625085,4,4.0,9,139,6,0,30,0,5,0
3,-3.6581010000000003,51.625085,11,9.0,2,405,6,0,30,0,5,0
4,-1.545764,52.27915,5,15.0,31,294,6,0,30,1,1,9
5,-1.545764,52.27915,11,21.0,22,74,6,0,30,0,1,9
6,-1.545764,52.27915,4,13.0,22,347,6,0,30,0,1,9
7,-1.545764,52.27915,9,21.0,24,540,6,0,30,0,1,9
8,-1.7433880000000002,52.134738,7,23.0,28,293,4,4632,50,1,1,0
9,-1.7433880000000002,52.134738,12,8.0,4,561,4,4632,50,0,1,0
10,-1.7433880000000002,52.134738,6,9.0,18,555,4,4632,50,0,1,0
11,-1.7433880000000002,52.134738,7,13.0,21,595,4,4632,50,0,1,0
12,-2.5396509999999997,52.736623,8,14.0,26,284,3,442,60,1,1,0
13,-2.5396509999999997,52.736623,2,12.0,27,682,3,442,60,0,1,0
14,-2.5396509999999997,52.736623,4,12.0,15,52,3,442,60,0,1,0
15,-2.5396509999999997,52.736623,6,10.0,26,612,3,442,60,0,1,0
16,0.82632,51.862995,9,8.0,22,455,4,1022,30,1,2,3
17,0.82632,51.862995,7,11.0,2,802,4,1022,30,0,2,3
18,0.82632,51.862995,12,8.0,27,603,4,1022,30,0,2,3
19,0.82632,51.862995,12,5.0,22,809,4,1022,30,0,2,3
20,-0.231434,51.767813000000004,7,21.0,14,438,4,197,30,1,2,8
21,-0.231434,51.767813000000004,5,0.0,28,730,4,197,30,0,2,8
22,-0.231434,51.767813000000004,4,17.0,6,373,4,197,30,0,2,8
23,-0.231434,51.767813000000004,4,20.0,21,899,4,197,30,0,2,8
24,-1.234481,50.918378999999995,4,9.0,21,502,3,334,30,1,1,3
25,-1.234481,50.918378999999995,9,12.0,11,603,3,334,30,0,1,3
26,-1.234481,50.918378999999995,6,18.0,25,930,3,334,30,0,1,3
27,-1.234481,50.918378999999995,5,11.0,5,504,3,334,30,0,1,3
28,-0.119362,51.557891999999995,11,13.0,27,3,3,503,30,1,1,6
29,-0.119362,51.557891999999995,8,9.0,17,146,3,503,30,0,1,6
30,-0.119362,51.557891999999995,1,1.0,15,342,3,503,30,0,1,6
31,-0.119362,51.557891999999995,10,16.0,3,191,3,503,30,0,1,6
32,-2.28635,52.791335,7,20.0,17,255,5,261,60,1,1,0
33,-2.28635,52.791335,7,3.0,15,349,5,261,60,0,1,0
34,-2.28635,52.791335,1,7.0,28,91,5,261,60,0,1,0
35,-2.28635,52.791335,1,3.0,22,723,5,261,60,0,1,0
36,-3.560347,54.541152000000004,7,15.0,15,63,6,0,30,1,1,3
37,-3.560347,54.541152000000004,1,4.0,15,1,6,0,30,0,1,3
38,-3.560347,54.541152000000004,6,19.0,26,383,6,0,30,0,1,3
39,-3.560347,54.541152000000004,4,16.0,14,747,6,0,30,0,1,3
40,-0.59351,52.316621000000005,9,5.0,29,382,3,5028,30,1,1,3
41,-0.59351,52.316621000000005,6,16.0,19,830,3,5028,30,0,1,3
42,-0.59351,52.316621000000005,1,5.0,23,185,3,5028,30,0,1,3
43,-0.59351,52.316621000000005,10,16.0,27,450,3,5028,30,0,1,3
44,-0.368338,51.413065,10,18.0,22,24,3,308,30,1,1,3
45,-0.368338,51.413065,2,5.0,14,594,3,308,30,0,1,3
46,-0.368338,51.413065,5,8.0,16,31,3,308,30,0,1,3
47,-0.368338,51.413065,7,12.0,26,824,3,308,30,0,1,3
48,-3.9102379999999997,56.090672,1,18.0,29,939,6,0,30,1,1,0
49,-3.9102379999999997,56.090672,5,5.0,9,541,6,0,30,0,1,0
50,-3.9102379999999997,56.090672,3,1.0,19,927,6,0,30,0,1,0
51,-3.9102379999999997,56.090672,2,10.0,26,646,6,0,30,0,1,0
52,-1.4421549999999999,53.384572,5,7.0,18,215,3,57,50,1,1,0
53,-1.4421549999999999,53.384572,9,19.0,25,451,3,57,50,0,1,0
54,-1.4421549999999999,53.384572,9,5.0,13,215,3,57,50,0,1,0
55,-1.4421549999999999,53.384572,6,9.0,11,612,3,57,50,0,1,0
56,-0.189176,52.55005500000001,4,18.0,16,392,3,605,40,1,1,0
57,-0.189176,52.55005500000001,3,6.0,21,73,3,605,40,0,1,0
58,-0.189176,52.55005500000001,10,14.0,12,807,3,605,40,0,1,0
59,-0.189176,52.55005500000001,2,0.0,19,122,3,605,40,0,1,0
60,-3.433736,56.399421999999994,8,14.0,14,934,3,989,30,1,2,3
61,-3.433736,56.399421999999994,7,20.0,14,15,3,989,30,0,2,3
62,-3.433736,56.399421999999994,1,6.0,14,517,3,989,30,0,2,3
63,-3.433736,56.399421999999994,12,16.0,1,257,3,989,30,0,2,3
64,-0.06263300000000001,51.633315,3,21.0,15,32,5,0,30,1,1,3
65,-0.06263300000000001,51.633315,11,0.0,9,525,5,0,30,0,1,3
66,-0.06263300000000001,51.633315,11,7.0,17,760,5,0,30,0,1,3
67,-0.06263300000000001,51.633315,7,5.0,4,704,5,0,30,0,1,3
68,-2.509761,51.500269,5,9.0,19,612,6,0,30,1,1,3
69,-2.509761,51.500269,2,11.0,16,509,6,0,30,0,1,3
70,-2.509761,51.500269,7,0.0,26,96,6,0,30,0,1,3
71,-2.509761,51.500269,12,13.0,18,263,6,0,30,0,1,3
72,-2.2117259999999996,53.582443000000005,6,18.0,23,106,3,6045,30,1,1,3
73,-2.2117259999999996,53.582443000000005,7,13.0,18,927,3,6045,30,0,1,3
74,-2.2117259999999996,53.582443000000005,3,14.0,17,282,3,6045,30,0,1,3
